Domain,Pagespeed,Yslow,Onload,Full_load,Requests,Total_size
37cs.com/,81,76,6.9s,7.3s,41,1.33
jiji.com/,29,52,10.9s,16.0s,593,3.71
ucoz.ru/,77,63,4.6s,7.5s,67,1.52
webmd.com/,36,47,21.8s,29.2s,593,5.21
sonico.com/,84,91,2.6s,10.9s,115,1.06
avast.com/,54,61,6.5s,7.7s,172,4.54
linternaute.com/,73,62,5.8s,10.1s,184,2.72
letv.com/,58,69,13.5s,13.8s,47,4.47
ip138.com/,86,70,3.5s,3.6s,14,150
careerbuilder.com/,79,72,4.5s,5.2s,91,1.31
ibm.com/,57,45,5.7s,6.9s,169,2.98
associatedcontent.com/,40,47,6.9s,14.1s,495,2.36
gnavi.co.jp/,13,69,12.5s,13.1s,150,9.6
rincondelvago.com/,43,53,7.2s,12.0s,304,4.02
indiatimes.com/,83,76,3.9s,5.1s,118,1.78
veoh.com/,86,71,3.4s,3.5s,66,1.16
dtiblog.com/,89,74,1.0s,1.0s,14,133
zylom.com/,65,52,2.1s,2.3s,91,2.42
monografias.com/,65,69,1.9s,15.9s,221,877
auction.co.kr/,38,52,4.3s,4.5s,165,3.14
fedex.com/,71,73,4.0s,4.1s,45,1.13
liveinternet.ru/,61,56,7.6s,10.5s,99,966
koubei.com/,98,90,2.5s,3.2s,17,378
game2.cn/,21,57,17.3s,19.9s,134,3.95
squidoo.com/,89,89,2.0s,2.1s,126,742
teacup.com/,68,63,5.0s,5.2s,44,1.09
addictinggames.com/,90,88,2.8s,5.0s,131,1.51
filehippo.com/,44,59,7.0s,26.0s,407,1.66
sdo.com/,59,69,15.1s,28.3s,95,5.32
ustream.tv/,47,43,10.3s,22.7s,226,13.1
tistory.com/,30,76,7.5s,8.7s,84,9.4
115.com/,89,75,3.9s,4.2s,29,823
liutilities.com/,96,85,1.4s,1.8s,25,288
jalan.net/,18,51,7.1s,10.2s,448,3.36
webs.com/,79,75,1.7s,2.1s,72,730
naqigs.com/,44,50,4.6s,5.5s,96,4.23
it168.com/,72,65,8.9s,9.1s,69,1.38
